sample_index,frame_gpu_span_ms,path_tracer_ms,primary_rays_ms,restir_spatial_0_ms,restir_temporal_ms,dlss_evaluate_ms,cpu_frame_ms,cpu_render_ms
253,9.563136,5.319680,1.533952,1.942528,1.709056,3.876864,14.057900,11.947500
254,9.562112,5.346304,1.540096,1.948672,1.724416,3.852288,13.764700,12.021000
255,9.789440,5.354496,1.541120,1.950720,1.729536,4.071424,14.038600,12.334000
256,9.505792,5.318656,1.533952,1.939456,1.712128,3.818496,13.567900,11.948000
257,9.623552,5.321728,1.531904,1.943552,1.713152,3.935232,13.682200,11.716000
258,9.515008,5.332992,1.538048,1.938432,1.724416,3.816448,14.363400,12.440900
259,9.743360,5.351424,1.543168,1.945600,1.731584,4.023296,13.332600,11.374700
260,9.521152,5.339136,1.537024,1.949696,1.719296,3.815424,14.210500,12.350100
261,9.691136,5.329920,1.543168,1.936384,1.716224,3.996672,13.669700,11.911400
262,9.513984,5.327872,1.538048,1.938432,1.718272,3.821568,13.712000,11.846100
263,9.552896,5.319680,1.530880,1.940480,1.716224,3.869696,13.860900,12.034300
264,9.588736,5.363712,1.536000,1.964032,1.729536,3.859456,14.025700,12.185100
265,9.679872,5.324800,1.533952,1.937408,1.718272,3.991552,13.761400,12.061000
266,9.554944,5.344256,1.548288,1.943552,1.720320,3.845120,13.797700,12.054500
267,9.579520,5.324800,1.530880,1.936384,1.725440,3.885056,13.833000,11.584000
268,9.586688,5.332992,1.539072,1.937408,1.723392,3.887104,14.236300,12.033500
269,9.725952,5.496832,1.544192,1.939456,1.713152,3.865600,13.403700,11.759100
270,9.520128,5.326848,1.537024,1.939456,1.716224,3.825664,13.909000,11.951500
271,9.552896,5.321728,1.537024,1.935360,1.714176,3.866624,13.908700,12.116800
272,9.520128,5.346304,1.538048,1.947648,1.729536,3.807232,14.164100,12.304500
273,9.725952,5.332992,1.539072,1.939456,1.720320,4.027392,13.558700,11.922800
274,9.564160,5.344256,1.541120,1.936384,1.733632,3.854336,13.859200,11.984500
275,9.551872,5.317632,1.527808,1.939456,1.718272,3.870720,13.809100,11.923300
276,9.538560,5.311488,1.528832,1.937408,1.713152,3.856384,13.744100,11.926300
277,9.488384,5.323776,1.530880,1.939456,1.720320,3.799040,13.932300,12.253500
278,9.511936,5.329920,1.536000,1.938432,1.721344,3.816448,13.849600,12.257100
279,9.551872,5.320704,1.531904,1.936384,1.719296,3.865600,13.847600,12.251900
280,9.546752,5.325824,1.536000,1.937408,1.719296,3.852288,13.964200,12.077500
281,9.558016,5.329920,1.529856,1.940480,1.726464,3.868672,13.773700,12.054800
282,9.551872,5.326848,1.538048,1.933312,1.722368,3.857408,14.029800,12.035900
283,9.581568,5.330944,1.539072,1.938432,1.720320,3.883008,13.738500,11.867400
284,9.501696,5.317632,1.537024,1.928192,1.718272,3.819520,13.776400,11.996300
285,9.572352,5.326848,1.538048,1.935360,1.720320,3.873792,14.026200,11.893400
286,9.518080,5.330944,1.531904,1.936384,1.729536,3.821568,13.676200,11.895900
287,9.545728,5.309440,1.533952,1.927168,1.715200,3.871744,14.030200,11.989800
288,9.655296,5.331968,1.536000,1.939456,1.723392,3.956736,14.088000,12.182600
289,9.623552,5.319680,1.533952,1.936384,1.716224,3.936256,13.471100,11.604700
290,9.510912,5.324800,1.538048,1.939456,1.714176,3.821568,14.006000,12.123000
291,9.687040,5.326848,1.541120,1.935360,1.716224,3.996672,13.798100,11.909900
292,9.536512,5.319680,1.536000,1.928192,1.723392,3.849216,13.839600,12.071000
293,9.551872,5.326848,1.537024,1.934336,1.722368,3.858432,13.902400,11.907000
294,9.505792,5.323776,1.540096,1.931264,1.719296,3.814400,13.687300,11.829100
295,9.561088,5.324800,1.532928,1.932288,1.725440,3.869696,13.914100,12.137700
296,9.515008,5.323776,1.538048,1.935360,1.718272,3.823616,13.946900,12.338000
297,9.715712,5.324800,1.534976,1.937408,1.718272,4.024320,13.807600,12.124500
298,9.520128,5.329920,1.537024,1.935360,1.725440,3.822592,13.757500,11.387000
299,9.559040,5.313536,1.530880,1.927168,1.722368,3.881984,13.918400,12.313000
